order_item_id,reason,status,refund_amount,restocking_fee,created_at
4566,Duplicate order,refunded,126.01,14.0,2025-07-04 01:10:00
4574,Defective item,initiated,70.82,7.87,2025-07-31 17:18:00
4633,Defective item,refunded,73.28,8.14,2025-12-22 01:20:00
4666,Defective item,refunded,67.11,7.46,2026-03-26 01:03:00
4686,Not as described,denied,84.8,9.42,2025-06-19 12:49:00
4747,Better price found,initiated,199.4,22.16,2025-04-21 12:52:00
4802,Defective item,refunded,420.23,46.69,2026-01-31 13:57:00
4877,Wrong color,denied,63.13,7.01,2025-12-08 23:39:00
4881,Too small,refunded,412.86,45.87,2025-04-14 16:17:00
5096,Wrong color,refunded,86.13,9.57,2025-06-16 12:39:00
5141,Defective item,refunded,1334.69,148.3,2026-01-30 21:45:00
5241,Not as described,denied,35.77,3.97,2026-01-13 17:49:00
5284,Better price found,initiated,22.45,2.49,2025-04-09 03:54:00
5312,Wrong color,initiated,246.73,27.41,2025-03-25 20:59:00
5388,Not satisfied,refunded,125.5,13.94,2026-01-18 14:00:00
5423,Wrong color,initiated,41.85,4.65,2026-02-21 09:53:00
5458,Too large,refunded,18.43,2.05,2026-02-11 20:20:00
5589,Defective item,denied,139.14,15.46,2025-03-15 22:22:00
5705,Better price found,denied,554.99,61.66,2025-08-14 05:38:00
5874,Wrong color,denied,49.88,5.54,2025-05-30 21:34:00
5891,Wrong color,refunded,205.11,22.79,2025-12-18 05:38:00
5939,Changed my mind,initiated,159.76,17.75,2025-07-14 18:17:00
6009,Too large,denied,105.43,11.71,2025-10-10 23:09:00
6048,Wrong color,initiated,88.58,9.84,2025-06-19 18:27:00
6095,Better price found,denied,95.47,10.61,2026-02-24 06:42:00
6150,Too small,denied,69.8,7.75,2025-03-01 20:36:00
6222,Changed my mind,refunded,27.32,3.04,2025-11-11 18:32:00
6226,Wrong color,refunded,43.06,4.79,2026-03-23 21:24:00
6250,Arrived damaged,initiated,380.08,42.23,2025-05-16 01:37:00
6251,Defective item,refunded,115.02,12.78,2025-04-01 15:54:00
6260,Defective item,initiated,88.24,9.8,2025-09-17 16:17:00
6366,Defective item,denied,767.3,85.26,2026-02-25 15:28:00
6443,Too small,refunded,44.77,4.97,2025-02-04 21:54:00
6642,Wrong color,denied,140.89,15.65,2025-09-11 22:29:00
6702,Arrived damaged,denied,30.6,3.4,2025-10-08 04:52:00
6773,Better price found,initiated,88.42,9.83,2026-01-18 02:25:00
6774,Arrived damaged,denied,40.91,4.55,2025-12-15 17:18:00
6880,Wrong color,initiated,197.56,21.95,2025-05-13 02:34:00
6920,Defective item,initiated,192.89,21.43,2025-04-07 18:22:00
6956,Changed my mind,initiated,106.0,11.78,2025-05-10 01:50:00
7055,Not as described,refunded,311.06,34.56,2026-01-24 07:29:00
7194,Defective item,denied,190.97,21.22,2025-02-09 02:31:00
7340,Too small,refunded,34.34,3.81,2026-02-20 20:14:00
7433,Not satisfied,initiated,240.08,26.68,2025-02-14 00:43:00
7449,Changed my mind,denied,29.59,3.29,2025-02-16 22:14:00
7477,Better price found,refunded,204.36,22.71,2025-04-15 14:31:00
7482,Arrived damaged,denied,208.95,23.22,2025-04-14 16:37:00
7550,Duplicate order,initiated,41.78,4.64,2025-03-21 20:57:00
7973,Wrong color,refunded,440.67,48.96,2025-10-28 08:27:00
7981,Changed my mind,initiated,352.78,39.2,2025-12-21 21:00:00
8006,Duplicate order,refunded,542.47,60.27,2025-12-28 13:30:00
8027,Defective item,refunded,42.64,4.74,2025-08-13 02:41:00
8135,Not as described,initiated,62.14,6.91,2025-06-25 16:16:00
8216,Not satisfied,denied,48.98,5.44,2025-05-09 01:36:00
8336,Defective item,denied,274.91,30.55,2025-10-16 07:27:00
8399,Arrived damaged,initiated,40.58,4.51,2025-12-20 18:39:00
8400,Wrong color,refunded,180.16,20.02,2025-12-14 18:39:00
8415,Too large,denied,861.84,95.76,2025-09-07 17:59:00
8498,Not satisfied,initiated,323.1,35.9,2026-02-22 07:24:00
8583,Changed my mind,denied,27.58,3.06,2025-08-06 06:36:00
8614,Wrong color,denied,139.82,15.54,2026-02-18 14:17:00
8636,Better price found,denied,300.16,33.35,2025-07-07 07:53:00
8701,Too large,refunded,77.19,8.58,2025-09-13 13:23:00
8715,Defective item,initiated,52.96,5.88,2025-07-17 18:45:00
8737,Defective item,initiated,527.63,58.63,2025-06-06 13:46:00
9131,Changed my mind,denied,46.74,5.19,2025-05-23 17:38:00
9139,Arrived damaged,refunded,1268.24,140.92,2025-04-14 20:36:00
9185,Too large,refunded,37.48,4.16,2025-11-17 20:35:00
9261,Not satisfied,initiated,151.42,16.82,2025-05-06 11:53:00
9348,Too large,initiated,253.48,28.16,2025-11-04 12:10:00
9375,Better price found,initiated,55.84,6.2,2025-10-16 02:17:00
9479,Too large,initiated,69.56,7.73,2025-12-23 16:25:00
9493,Duplicate order,refunded,80.79,8.98,2025-12-20 19:58:00
9657,Not as described,initiated,33.02,3.67,2025-06-13 08:12:00
9671,Duplicate order,initiated,121.63,13.51,2025-04-06 01:12:00
9796,Changed my mind,denied,23.36,2.6,2025-09-12 19:20:00
9822,Not as described,initiated,7.22,0.8,2025-11-15 01:23:00
9833,Duplicate order,refunded,490.56,54.51,2025-11-08 04:31:00
10273,Better price found,initiated,103.81,11.53,2025-07-13 22:21:00
10386,Wrong color,denied,232.33,25.82,2026-01-12 10:53:00
10415,Too small,denied,47.72,5.3,2026-02-13 01:40:00
10433,Not as described,initiated,33.66,3.74,2025-03-02 09:55:00
10448,Too small,initiated,10.63,1.18,2026-02-27 07:27:00
10501,Too small,initiated,21.02,2.33,2025-07-19 18:56:00
10512,Wrong color,initiated,341.12,37.9,2026-01-09 13:17:00
10562,Not satisfied,denied,59.98,6.66,2025-11-14 12:06:00
10589,Wrong color,denied,655.53,72.84,2025-02-13 22:36:00
10591,Not satisfied,initiated,14.27,1.59,2025-02-01 22:36:00
10612,Not as described,refunded,351.76,39.08,2025-01-11 19:09:00
10623,Not satisfied,denied,110.18,12.24,2025-11-14 23:24:00
10741,Too large,refunded,105.22,11.69,2025-12-20 15:55:00
10912,Not satisfied,refunded,88.67,9.85,2025-04-28 22:53:00
11131,Arrived damaged,initiated,66.25,7.36,2025-04-10 00:46:00
11155,Duplicate order,refunded,102.33,11.37,2025-11-04 00:35:00
11252,Too large,initiated,58.75,6.53,2025-11-18 12:09:00
11309,Duplicate order,initiated,14.53,1.61,2025-11-24 04:40:00
11317,Duplicate order,refunded,152.79,16.98,2025-04-18 16:01:00
11352,Too large,denied,12.19,1.35,2026-01-23 15:02:00
11360,Duplicate order,initiated,74.95,8.33,2025-06-13 10:32:00
11680,Defective item,refunded,166.2,18.47,2025-09-19 16:52:00
11756,Too large,denied,120.64,13.4,2025-09-03 02:13:00
11801,Arrived damaged,denied,87.02,9.67,2025-05-29 08:24:00
11888,Too small,refunded,49.27,5.48,2026-01-02 15:58:00
11912,Defective item,initiated,244.03,27.11,2025-02-20 04:59:00
11925,Better price found,refunded,75.2,8.36,2025-11-13 08:33:00
11984,Changed my mind,initiated,28.5,3.17,2025-07-22 03:28:00
12008,Duplicate order,refunded,141.05,15.67,2025-06-04 15:01:00
12086,Not satisfied,refunded,220.19,24.47,2025-01-22 01:11:00
12126,Defective item,initiated,18.31,2.03,2025-07-09 11:02:00
12174,Defective item,initiated,294.86,32.76,2025-03-07 12:21:00
12212,Not as described,denied,131.22,14.58,2025-02-08 12:25:00
12255,Too large,refunded,226.61,25.18,2025-03-11 04:01:00
12290,Not as described,refunded,4.56,0.51,2025-07-06 18:28:00
12353,Not as described,refunded,326.7,36.3,2025-09-03 19:21:00
12435,Not satisfied,refunded,22.16,2.46,2025-04-11 01:20:00
12446,Defective item,denied,125.84,13.98,2026-02-10 02:13:00
12456,Not satisfied,denied,82.54,9.17,2026-02-11 03:56:00
12496,Duplicate order,refunded,60.89,6.77,2025-08-15 23:18:00
12611,Wrong color,initiated,137.41,15.27,2025-09-02 06:21:00
12874,Duplicate order,refunded,212.06,23.56,2025-07-10 01:13:00
12887,Duplicate order,initiated,492.61,54.74,2025-11-01 22:21:00
12969,Changed my mind,refunded,88.06,9.78,2025-11-20 21:04:00
13093,Arrived damaged,refunded,70.11,7.79,2025-02-08 03:34:00
13148,Arrived damaged,denied,143.44,15.94,2026-03-05 15:09:00
13158,Wrong color,initiated,8.61,0.96,2025-08-18 08:32:00
13186,Not satisfied,refunded,37.62,4.18,2025-07-08 17:53:00
13193,Better price found,refunded,76.86,8.54,2025-04-27 13:53:00
13298,Arrived damaged,denied,58.45,6.49,2025-07-14 13:37:00
13376,Not satisfied,refunded,161.89,17.99,2025-06-17 06:21:00
13389,Duplicate order,initiated,32.63,3.63,2026-02-06 17:54:00
13412,Not satisfied,refunded,525.23,58.36,2025-06-24 13:53:00
13420,Changed my mind,denied,574.56,63.84,2026-01-27 16:54:00
13589,Too large,initiated,44.38,4.93,2025-09-02 11:45:00
13652,Changed my mind,initiated,198.34,22.04,2026-01-10 16:24:00
13670,Wrong color,initiated,163.57,18.17,2025-02-07 04:22:00
13748,Better price found,initiated,52.29,5.81,2025-09-10 16:38:00
13795,Better price found,initiated,365.69,40.63,2025-02-26 13:46:00
13801,Changed my mind,refunded,243.99,27.11,2025-11-03 16:57:00
14040,Defective item,refunded,9.16,1.02,2026-01-01 20:35:00
14215,Duplicate order,refunded,129.04,14.34,2026-03-08 20:14:00
14219,Arrived damaged,refunded,249.1,27.68,2025-04-27 05:17:00
14228,Better price found,initiated,956.31,106.26,2025-09-08 16:36:00
14236,Too small,denied,316.87,35.21,2025-12-03 13:53:00
14265,Arrived damaged,refunded,48.67,5.41,2025-12-06 03:01:00
14329,Duplicate order,initiated,193.48,21.5,2025-12-07 21:54:00
14472,Wrong color,initiated,138.53,15.39,2025-12-25 11:04:00
14510,Too large,refunded,212.62,23.63,2025-12-06 06:38:00
14512,Better price found,initiated,286.15,31.79,2025-12-05 06:38:00
14624,Too small,denied,19.04,2.11,2025-09-29 09:48:00
14738,Arrived damaged,denied,100.17,11.13,2025-03-05 10:15:00
14781,Wrong color,denied,54.27,6.03,2025-08-06 01:44:00
14811,Not as described,denied,129.06,14.34,2026-01-03 16:11:00
14825,Changed my mind,denied,264.82,29.42,2026-01-04 01:29:00
14835,Wrong color,denied,9.8,1.09,2025-12-05 11:23:00
14906,Duplicate order,initiated,67.66,7.52,2025-03-28 06:13:00
14919,Not as described,refunded,49.1,5.46,2025-09-10 03:28:00
14946,Defective item,denied,103.82,11.54,2025-12-17 05:54:00
15096,Changed my mind,refunded,60.63,6.74,2026-02-17 18:34:00
15108,Better price found,initiated,353.46,39.27,2026-01-09 14:34:00
15182,Not as described,initiated,179.44,19.94,2026-02-25 23:17:00
15207,Not satisfied,denied,387.1,43.01,2025-09-14 20:59:00
15240,Arrived damaged,refunded,156.67,17.41,2025-12-07 11:21:00
15310,Changed my mind,refunded,25.63,2.85,2025-02-25 01:28:00
15317,Not as described,initiated,113.62,12.63,2025-05-03 14:05:00
15401,Too large,denied,26.84,2.98,2025-03-01 17:51:00
15415,Better price found,denied,98.8,10.98,2026-01-30 20:01:00
15457,Not as described,denied,54.73,6.08,2025-06-10 07:37:00
15477,Better price found,denied,19.1,2.12,2025-01-28 16:15:00
15520,Not satisfied,refunded,103.63,11.51,2025-09-26 23:02:00
15564,Too small,denied,1243.11,138.12,2025-08-30 06:43:00
15667,Not as described,refunded,294.57,32.73,2025-02-10 09:13:00
15675,Too small,refunded,193.48,21.5,2026-02-03 06:15:00
15681,Defective item,refunded,90.75,10.08,2025-08-27 04:05:00
15705,Defective item,initiated,250.45,27.83,2025-03-14 16:32:00
15868,Duplicate order,initiated,170.07,18.9,2025-09-21 13:30:00
15890,Changed my mind,refunded,200.18,22.24,2025-09-21 14:34:00
16092,Too large,initiated,78.75,8.75,2025-05-25 00:34:00
16146,Not as described,initiated,100.26,11.14,2025-05-22 00:04:00
16456,Arrived damaged,refunded,30.01,3.33,2025-11-17 04:38:00
16466,Not satisfied,initiated,81.94,9.11,2026-03-20 18:52:00
16506,Wrong color,initiated,127.3,14.15,2025-03-13 01:16:00
16645,Duplicate order,refunded,304.05,33.78,2026-01-09 03:04:00
16705,Too large,initiated,545.4,60.6,2025-06-12 11:41:00
16815,Better price found,denied,32.09,3.57,2025-07-20 14:23:00
16822,Changed my mind,denied,208.39,23.15,2025-12-18 09:50:00
16825,Too small,denied,199.34,22.15,2025-01-26 13:52:00
16887,Not as described,refunded,107.15,11.91,2025-02-05 00:50:00
16904,Changed my mind,refunded,107.28,11.92,2025-10-29 08:25:00
16964,Arrived damaged,refunded,95.98,10.67,2025-07-25 11:24:00
17016,Duplicate order,refunded,229.1,25.46,2025-12-08 05:01:00
17058,Duplicate order,refunded,45.71,5.08,2025-04-02 05:21:00
17070,Defective item,denied,91.8,10.2,2025-11-13 15:02:00
17074,Wrong color,refunded,213.52,23.72,2025-12-07 23:15:00
17083,Wrong color,denied,71.87,7.99,2025-09-22 17:03:00
17193,Changed my mind,denied,78.1,8.68,2025-10-05 16:49:00
17240,Too large,refunded,64.11,7.12,2025-04-18 10:19:00
17245,Too large,initiated,95.83,10.65,2025-03-21 01:09:00
17264,Better price found,refunded,65.47,7.27,2025-01-20 17:18:00
17298,Changed my mind,initiated,60.4,6.71,2025-06-12 11:58:00
17388,Duplicate order,denied,53.68,5.96,2025-05-06 06:19:00
17522,Not satisfied,refunded,37.87,4.21,2025-06-21 14:59:00
17560,Not as described,initiated,20.01,2.22,2025-08-25 15:01:00
17646,Not satisfied,denied,437.35,48.59,2025-10-11 03:45:00
18170,Too small,refunded,28.58,3.18,2025-04-23 20:41:00
18179,Better price found,denied,359.91,39.99,2025-05-19 04:49:00
18252,Not as described,initiated,120.96,13.44,2025-08-13 11:28:00
18253,Arrived damaged,denied,4.75,0.53,2025-08-27 11:28:00
18673,Better price found,initiated,91.26,10.14,2025-04-16 20:44:00
18718,Too small,initiated,340.78,37.86,2025-02-24 16:15:00
18742,Not satisfied,initiated,81.01,9.0,2025-04-20 14:35:00
18783,Better price found,denied,73.48,8.16,2025-12-31 23:52:00
18949,Arrived damaged,denied,54.31,6.03,2025-08-15 04:09:00
18963,Arrived damaged,denied,60.4,6.71,2025-11-10 15:29:00
19014,Arrived damaged,denied,125.15,13.9,2025-06-29 15:56:00
19065,Arrived damaged,initiated,41.19,4.58,2025-11-11 17:58:00
19096,Wrong color,refunded,228.77,25.42,2025-04-02 23:57:00
19120,Not as described,initiated,1205.44,133.94,2026-01-08 03:32:00
19197,Wrong color,refunded,328.68,36.52,2026-02-05 22:58:00
19266,Better price found,refunded,21.82,2.43,2026-01-26 14:14:00
19498,Defective item,refunded,187.19,20.8,2025-10-01 20:34:00
19552,Defective item,denied,78.95,8.77,2025-12-09 19:22:00
19579,Better price found,refunded,51.93,5.77,2025-11-12 00:12:00
19582,Wrong color,initiated,66.87,7.43,2025-12-16 17:14:00
19595,Not satisfied,refunded,20.95,2.33,2025-11-07 14:20:00
19598,Changed my mind,initiated,116.3,12.92,2026-01-21 06:01:00
19628,Not satisfied,denied,119.29,13.25,2025-05-23 00:44:00
19641,Defective item,refunded,198.9,22.1,2025-10-15 21:17:00
19664,Changed my mind,denied,253.75,28.19,2025-12-04 05:51:00
19813,Not satisfied,initiated,1121.12,124.57,2025-10-15 15:35:00
19822,Not satisfied,refunded,297.3,33.03,2025-07-10 22:21:00
19844,Defective item,refunded,37.59,4.18,2025-05-01 16:28:00
19949,Duplicate order,denied,57.47,6.38,2025-12-02 00:17:00
19953,Arrived damaged,denied,36.34,4.04,2025-01-29 00:20:00
19969,Arrived damaged,initiated,5.08,0.56,2025-08-29 11:02:00
19971,Wrong color,denied,33.4,3.71,2025-03-18 10:17:00
19985,Too large,denied,599.86,66.65,2025-09-16 00:09:00
20018,Better price found,initiated,21.01,2.33,2026-01-08 06:58:00
20028,Arrived damaged,refunded,89.02,9.89,2025-07-10 08:44:00
20062,Better price found,initiated,185.14,20.57,2026-02-06 07:26:00
20103,Too large,initiated,65.74,7.3,2025-10-28 00:05:00
20142,Not satisfied,denied,27.31,3.03,2026-01-25 01:47:00
20157,Better price found,denied,103.72,11.52,2025-03-20 01:25:00
20169,Too small,initiated,282.65,31.41,2026-01-20 21:06:00
20190,Not satisfied,denied,21.47,2.38,2025-08-27 22:07:00
20260,Better price found,refunded,92.88,10.32,2025-05-14 23:19:00
20328,Defective item,initiated,202.07,22.45,2025-02-15 17:44:00
20391,Changed my mind,initiated,859.52,95.5,2025-09-19 04:27:00
20508,Changed my mind,denied,16.51,1.83,2025-02-02 10:39:00
20576,Changed my mind,refunded,94.15,10.46,2025-02-22 16:12:00
20577,Not as described,initiated,145.28,16.14,2025-02-25 16:12:00
20608,Not satisfied,initiated,46.83,5.2,2025-03-31 20:01:00
20630,Changed my mind,denied,45.39,5.04,2025-05-02 19:49:00
20695,Defective item,denied,93.8,10.42,2025-02-06 21:10:00
20758,Changed my mind,initiated,229.47,25.5,2025-01-30 10:40:00
20792,Not as described,initiated,115.03,12.78,2026-01-05 10:23:00
20831,Defective item,denied,101.59,11.29,2026-02-23 17:27:00
21106,Better price found,denied,27.19,3.02,2026-01-29 14:58:00
21147,Arrived damaged,refunded,156.73,17.42,2026-03-19 14:22:00
21201,Defective item,denied,192.32,21.37,2025-07-02 13:24:00
21216,Defective item,initiated,87.39,9.71,2025-05-22 01:48:00
21358,Changed my mind,initiated,91.8,10.2,2025-05-28 20:57:00
21359,Changed my mind,initiated,118.42,13.16,2025-05-29 20:57:00
21513,Duplicate order,denied,21.95,2.44,2026-02-20 21:24:00
21551,Too large,initiated,167.45,18.61,2025-10-08 19:40:00
21570,Better price found,denied,6.17,0.69,2026-01-12 23:14:00
21596,Too small,initiated,47.03,5.23,2025-07-11 15:16:00
21772,Duplicate order,refunded,112.18,12.47,2025-12-19 11:58:00
21816,Not satisfied,denied,41.71,4.64,2025-03-05 05:01:00
21818,Not satisfied,initiated,41.78,4.64,2025-03-23 06:54:00
21977,Not as described,initiated,28.13,3.13,2025-05-04 15:56:00
22067,Duplicate order,initiated,342.43,38.05,2025-02-03 02:54:00
22098,Duplicate order,refunded,78.34,8.7,2025-05-23 02:39:00
22108,Defective item,refunded,377.51,41.95,2025-12-28 02:11:00
22209,Not as described,initiated,80.28,8.92,2025-01-23 02:58:00
22289,Too small,refunded,660.66,73.41,2026-01-12 22:48:00
22382,Not as described,refunded,201.66,22.41,2025-07-27 22:50:00
22384,Defective item,initiated,126.68,14.08,2025-04-20 21:50:00
22400,Defective item,denied,80.33,8.92,2025-05-21 08:54:00
22407,Changed my mind,initiated,47.16,5.24,2025-11-01 04:18:00
22408,Not satisfied,initiated,24.72,2.75,2025-10-28 04:18:00
22421,Wrong color,denied,326.45,36.27,2026-02-03 05:32:00
22485,Not satisfied,initiated,44.88,4.99,2025-06-13 13:36:00
22553,Not as described,initiated,29.05,3.23,2026-02-15 23:25:00
22604,Changed my mind,refunded,45.31,5.03,2026-01-18 14:16:00
22616,Too large,initiated,154.9,17.21,2026-01-17 21:13:00
22666,Changed my mind,refunded,580.07,64.45,2025-02-25 11:02:00
22667,Too small,refunded,113.37,12.6,2025-03-02 11:02:00
22670,Too small,refunded,116.55,12.95,2026-01-07 03:15:00
22672,Not as described,refunded,412.34,45.82,2026-01-14 03:15:00
22747,Not satisfied,refunded,396.55,44.06,2025-02-26 21:22:00
22759,Wrong color,refunded,135.6,15.07,2026-02-18 10:26:00
22781,Arrived damaged,initiated,37.58,4.18,2025-07-18 23:58:00
22928,Too large,initiated,29.13,3.24,2025-02-08 10:42:00
22929,Too large,denied,182.52,20.28,2025-02-20 10:42:00
22936,Duplicate order,denied,76.93,8.55,2025-05-20 17:27:00
22951,Better price found,denied,35.87,3.99,2026-02-04 09:49:00
22956,Too large,initiated,104.76,11.64,2025-07-16 13:01:00
22981,Not satisfied,initiated,24.03,2.67,2025-06-11 22:13:00
22983,Arrived damaged,refunded,45.49,5.05,2026-02-14 17:15:00
22987,Too large,initiated,124.6,13.84,2025-10-26 18:27:00
23060,Not as described,denied,33.11,3.68,2025-07-16 05:50:00
23127,Not as described,denied,20.13,2.24,2026-02-04 07:39:00
23228,Duplicate order,initiated,12.34,1.37,2025-08-18 19:57:00
23362,Changed my mind,initiated,116.31,12.92,2025-11-05 05:43:00
23371,Not satisfied,refunded,241.83,26.87,2025-02-18 09:33:00
23400,Too large,initiated,73.87,8.21,2025-08-12 03:12:00
23507,Not satisfied,initiated,124.29,13.81,2025-08-28 13:53:00
23509,Not satisfied,denied,160.15,17.79,2025-05-21 02:04:00
23529,Changed my mind,denied,33.01,3.67,2025-02-03 08:55:00
23570,Duplicate order,refunded,235.31,26.14,2025-08-21 03:12:00
23831,Not as described,denied,49.21,5.47,2025-07-20 15:50:00
23858,Better price found,refunded,63.13,7.01,2025-07-08 04:51:00
23954,Not as described,initiated,62.53,6.95,2025-03-16 14:11:00
24004,Changed my mind,refunded,248.91,27.66,2025-01-12 21:49:00
24067,Arrived damaged,refunded,354.46,39.38,2025-05-17 06:32:00
24104,Too small,initiated,220.4,24.49,2025-08-19 14:14:00
24148,Arrived damaged,initiated,78.37,8.71,2025-08-30 13:05:00
24351,Duplicate order,initiated,174.45,19.38,2025-10-15 09:41:00
24425,Wrong color,initiated,105.25,11.69,2025-11-28 17:26:00
24451,Better price found,initiated,87.35,9.71,2025-07-04 20:08:00
24661,Better price found,denied,56.43,6.27,2025-06-07 18:51:00
24814,Too large,denied,183.41,20.38,2025-04-11 19:47:00
24953,Duplicate order,initiated,225.83,25.09,2025-12-08 08:28:00
24977,Not as described,refunded,24.98,2.78,2026-01-10 21:13:00
24980,Not as described,refunded,205.06,22.78,2025-12-07 01:07:00
25027,Changed my mind,denied,359.91,39.99,2025-11-15 07:29:00
25032,Wrong color,denied,68.06,7.56,2025-04-15 10:18:00
25050,Duplicate order,refunded,67.36,7.49,2025-05-28 04:36:00
25053,Arrived damaged,initiated,80.46,8.94,2025-02-04 02:44:00
25076,Defective item,refunded,23.52,2.61,2025-03-24 12:17:00
25095,Not satisfied,denied,412.86,45.87,2025-04-04 16:32:00
25195,Wrong color,initiated,30.89,3.43,2025-08-17 23:46:00
25484,Too large,denied,129.41,14.38,2025-11-20 22:10:00
25495,Too large,refunded,179.95,20.0,2025-12-31 14:40:00
25514,Duplicate order,denied,14.39,1.6,2025-04-12 20:40:00
25518,Not as described,refunded,34.97,3.89,2025-09-27 14:20:00
25554,Defective item,refunded,95.89,10.65,2025-11-03 08:12:00
25555,Not satisfied,initiated,51.58,5.73,2025-11-03 08:12:00
25556,Better price found,initiated,29.08,3.23,2025-10-31 08:12:00
25704,Too large,denied,165.86,18.43,2025-05-16 19:32:00
25727,Not as described,denied,410.69,45.63,2025-01-30 17:03:00
25757,Not satisfied,denied,60.67,6.74,2025-04-28 13:02:00
25828,Better price found,initiated,82.06,9.12,2025-07-16 15:57:00
25853,Not satisfied,denied,55.67,6.19,2025-06-12 03:33:00
25979,Not satisfied,initiated,133.25,14.8,2025-12-28 11:23:00
26035,Duplicate order,refunded,121.63,13.51,2026-03-01 19:07:00
26192,Too large,refunded,306.54,34.06,2025-10-20 21:04:00
